Name,Time,X,Y,Layer,Observed,Computed,Weight,Group,Residual
H-78,10865.000000,2278732.978783,10434314.775178,12,6579.200000,6587.003484,1.000000,1,-7.803484
LT-10,6301.000000,2275937.871181,10432114.197001,12,6591.020000,6576.653438,1.000000,1,14.366562
LT-10,6757.000000,2275937.871181,10432114.197001,12,6584.420000,6576.254647,1.000000,1,8.165353
LT-10,7031.000000,2275937.871181,10432114.197001,12,6583.680000,6576.154217,1.000000,1,7.525783
LT-10,7397.000000,2275937.871181,10432114.197001,12,6538.300000,6576.508126,1.000000,1,-38.208126
LT-10,7670.000000,2275937.871181,10432114.197001,12,6538.120000,6577.688477,1.000000,1,-39.568477
LT-10,8218.000000,2275937.871181,10432114.197001,12,6538.220000,6576.604477,1.000000,1,-38.384477
LT-10,8522.000000,2275937.871181,10432114.197001,12,6538.220000,6576.281413,1.000000,1,-38.061413
LT-10,8888.000000,2275937.871181,10432114.197001,12,6539.120000,6576.177894,1.000000,1,-37.057894
LT-10,9314.000000,2275937.871181,10432114.197001,12,6538.200000,6576.152281,1.000000,1,-37.952281
LT-10,9679.000000,2275937.871181,10432114.197001,12,6541.200000,6576.098304,1.000000,1,-34.898304
LT-10,9800.000000,2275937.871181,10432114.197001,12,6541.300000,6576.077746,1.000000,1,-34.777746
LT-10,10410.000000,2275937.871181,10432114.197001,12,6543.910000,6575.984313,1.000000,1,-32.074313
LT-10,10714.000000,2275937.871181,10432114.197001,12,6538.700000,6575.955386,1.000000,1,-37.255386
LT-10,10865.000000,2275937.871181,10432114.197001,12,6543.250000,6575.947306,1.000000,1,-32.697306
LT-19,6301.000000,2275568.768179,10431832.439077,12,6542.200000,6546.452720,1.000000,1,-4.252720
LT-19,6757.000000,2275568.768179,10431832.439077,12,6542.260000,6546.436518,1.000000,1,-4.176518
LT-19,7031.000000,2275568.768179,10431832.439077,12,6542.320000,6546.434202,1.000000,1,-4.114202
LT-19,7213.000000,2275568.768179,10431832.439077,12,6542.270000,6546.433474,1.000000,1,-4.163474
LT-20,6277.000000,2275277.106727,10431547.708153,12,6525.680000,6521.983669,1.000000,1,3.696331
LT-20,6757.000000,2275277.106727,10431547.708153,12,6523.590000,6519.780913,1.000000,1,3.809087
LT-20,7031.000000,2275277.106727,10431547.708153,12,6522.980000,6516.723670,1.000000,1,6.256330
LT-20,7213.000000,2275277.106727,10431547.708153,12,6522.620000,6515.137658,1.000000,1,7.482342
ML-2,9652.000000,2272603.887857,10432033.317667,12,6487.940000,6494.015420,1.000000,1,-6.075420
ML-2,11491.000000,2272603.887857,10432033.317667,12,6488.030000,6493.755709,1.000000,1,-5.725709
ML-2,11617.000000,2272603.887857,10432033.317667,12,6486.590000,6493.693345,1.000000,1,-7.103345
MW-1,4870.000000,2274597.599400,10432236.601959,12,6516.060000,6513.845778,1.000000,1,2.214222
MW-1,5235.000000,2274597.599400,10432236.601959,12,6515.360000,6515.012159,1.000000,1,0.347841
MW-1,5600.000000,2274597.599400,10432236.601959,12,6516.950000,6516.787435,1.000000,1,0.162565
MW-1,5966.000000,2274597.599400,10432236.601959,12,6517.540000,6518.426854,1.000000,1,-0.886854
MW-1,6377.000000,2274597.599400,10432236.601959,12,6516.530000,6518.753253,1.000000,1,-2.223253
MW-10,3835.000000,2278040.702650,10435250.112350,12,6561.500000,6587.765931,1.000000,1,-26.265931
MW-10,4139.000000,2278040.702650,10435250.112350,12,6566.960000,6588.246257,1.000000,1,-21.286257
MW-10,4413.000000,2278040.702650,10435250.112350,12,6569.860000,6587.690022,1.000000,1,-17.830022
MW-10,4870.000000,2278040.702650,10435250.112350,12,6572.750000,6587.083356,1.000000,1,-14.333356
MW-10,5235.000000,2278040.702650,10435250.112350,12,6575.120000,6587.129801,1.000000,1,-12.009801
MW-10,5600.000000,2278040.702650,10435250.112350,12,6577.310000,6587.764486,1.000000,1,-10.454486
MW-10,5966.000000,2278040.702650,10435250.112350,12,6579.480000,6588.376125,1.000000,1,-8.896125
MW-10,6312.000000,2278040.702650,10435250.112350,12,6581.310000,6588.153925,1.000000,1,-6.843925
MW-10,6757.000000,2278040.702650,10435250.112350,12,6583.120000,6587.327001,1.000000,1,-4.207001
MW-10,7031.000000,2278040.702650,10435250.112350,12,6582.410000,6586.512434,1.000000,1,-4.102434
MW-10,7397.000000,2278040.702650,10435250.112350,12,6582.090000,6586.125915,1.000000,1,-4.035915
MW-10,7670.000000,2278040.702650,10435250.112350,12,6582.110000,6586.992188,1.000000,1,-4.882188
MW-10,8218.000000,2278040.702650,10435250.112350,12,6581.310000,6586.730818,1.000000,1,-5.420818
MW-10,8522.000000,2278040.702650,10435250.112350,12,6580.770000,6586.344564,1.000000,1,-5.574564
MW-10,8888.000000,2278040.702650,10435250.112350,12,6580.510000,6585.860380,1.000000,1,-5.350380
MW-10,9314.000000,2278040.702650,10435250.112350,12,6579.850000,6585.411311,1.000000,1,-5.561311
MW-10,9679.000000,2278040.702650,10435250.112350,12,6579.230000,6585.145334,1.000000,1,-5.915334
MW-10,9800.000000,2278040.702650,10435250.112350,12,6580.050000,6585.044166,1.000000,1,-4.994166
MW-10,10410.000000,2278040.702650,10435250.112350,12,6578.520000,6584.357808,1.000000,1,-5.837808
MW-10,10714.000000,2278040.702650,10435250.112350,12,6577.810000,6583.827832,1.000000,1,-6.017832
MW-10,10865.000000,2278040.702650,10435250.112350,12,6577.380000,6583.547656,1.000000,1,-6.167656
MW-10,11297.000000,2278040.702650,10435250.112350,12,6576.850000,6583.082673,1.000000,1,-6.232673
MW-11,3835.000000,2274434.840687,10431932.775885,12,6509.800000,6511.149445,1.000000,1,-1.349445
MW-11,4139.000000,2274434.840687,10431932.775885,12,6514.010000,6512.352214,1.000000,1,1.657786
MW-11,4505.000000,2274434.840687,10431932.775885,12,6514.580000,6512.852245,1.000000,1,1.727755
MW-11,4870.000000,2274434.840687,10431932.775885,12,6513.780000,6513.689079,1.000000,1,0.090921
MW-11,5235.000000,2274434.840687,10431932.775885,12,6513.800000,6514.887658,1.000000,1,-1.087658
MW-11,5600.000000,2274434.840687,10431932.775885,12,6515.070000,6516.680827,1.000000,1,-1.610827
MW-11,5966.000000,2274434.840687,10431932.775885,12,6515.430000,6518.382372,1.000000,1,-2.952372
MW-11,6340.000000,2274434.840687,10431932.775885,12,6514.770000,6518.800951,1.000000,1,-4.030951
MW-11,6447.000000,2274434.840687,10431932.775885,12,6513.210000,6518.823424,1.000000,1,-5.613424
MW-11,7111.000000,2274434.840687,10431932.775885,12,6480.580000,6493.843046,1.000000,1,-13.263046
MW-11,7452.000000,2274434.840687,10431932.775885,12,6493.790000,6501.032466,1.000000,1,-7.242466
MW-11,7865.000000,2274434.840687,10431932.775885,12,6485.780000,6503.324052,1.000000,1,-17.544052
MW-11,8229.000000,2274434.840687,10431932.775885,12,6483.450000,6494.583314,1.000000,1,-11.133314
MW-11,8555.000000,2274434.840687,10431932.775885,12,6448.120000,6491.035508,1.000000,1,-42.915508
MW-11,8945.000000,2274434.840687,10431932.775885,12,6461.550000,6486.215317,1.000000,1,-24.665317
MW-11,9336.000000,2274434.840687,10431932.775885,12,6440.040000,6487.287718,1.000000,1,-47.247718
MW-11,9652.000000,2274434.840687,10431932.775885,12,6460.120000,6490.654140,1.000000,1,-30.534140
MW-11,10023.000000,2274434.840687,10431932.775885,12,6464.950000,6490.870485,1.000000,1,-25.920485
MW-11,10386.000000,2274434.840687,10431932.775885,12,6460.040000,6486.458436,1.000000,1,-26.418436
MW-11,10729.000000,2274434.840687,10431932.775885,12,6438.800000,6480.107913,1.000000,1,-41.307913
MW-11,11155.000000,2274434.840687,10431932.775885,12,6428.760000,6474.577843,1.000000,1,-45.817843
MW-11,11296.000000,2274434.840687,10431932.775885,12,6431.510000,6473.093940,1.000000,1,-41.583940
MW-11A,11491.000000,2274426.630000,10431936.140000,12,6420.620000,6473.043296,1.000000,1,-52.423296
MW-11A,11617.000000,2274426.630000,10431936.140000,12,6450.090000,6473.209543,1.000000,1,-23.119543
MW-12,3835.000000,2275023.382983,10431389.359043,12,6510.500000,6513.401710,1.000000,1,-2.901710
MW-12,4139.000000,2275023.382983,10431389.359043,12,6514.330000,6514.568522,1.000000,1,-0.238522
MW-12,6313.000000,2275023.382983,10431389.359043,12,6515.500000,6521.330740,1.000000,1,-5.830740
MW-12,6757.000000,2275023.382983,10431389.359043,12,6502.930000,6518.089759,1.000000,1,-15.159759
MW-12,7031.000000,2275023.382983,10431389.359043,12,6502.940000,6513.952952,1.000000,1,-11.012952
MW-12,7397.000000,2275023.382983,10431389.359043,12,6502.760000,6512.546605,1.000000,1,-9.786605
MW-12,7670.000000,2275023.382983,10431389.359043,12,6502.880000,6515.603027,1.000000,1,-12.723027
MW-12,8218.000000,2275023.382983,10431389.359043,12,6502.800000,6510.326633,1.000000,1,-7.526633
MW-12,8522.000000,2275023.382983,10431389.359043,12,6502.680000,6506.878906,1.000000,1,-4.198906
MW-12,8888.000000,2275023.382983,10431389.359043,12,6502.850000,6503.641845,1.000000,1,-0.791845
MW-12,9314.000000,2275023.382983,10431389.359043,12,6501.780000,6501.526430,1.000000,1,0.253570
MW-12,9679.000000,2275023.382983,10431389.359043,12,6492.860000,6500.987226,1.000000,1,-8.127226
MW-12,9800.000000,2275023.382983,10431389.359043,12,6492.900000,6500.968125,1.000000,1,-8.068125
MW-12,10410.000000,2275023.382983,10431389.359043,12,6492.880000,6507.827395,1.000000,1,-14.947395
MW-12,10714.000000,2275023.382983,10431389.359043,12,6492.750000,6507.827472,1.000000,1,-15.077472
MW-12,10865.000000,2275023.382983,10431389.359043,12,6492.810000,6507.826664,1.000000,1,-15.016664
MW-12,11298.000000,2275023.382983,10431389.359043,12,6593.100000,6507.824803,1.000000,1,85.275197
MW-2,565.000000,2274931.802321,10431943.628179,12,6493.500000,6509.270387,1.000000,1,-15.770387
MW-2,906.000000,2274931.802321,10431943.628179,12,6499.500000,6509.528906,1.000000,1,-10.028906
MW-2,1292.000000,2274931.802321,10431943.628179,12,6502.500000,6509.728481,1.000000,1,-7.228481
MW-2,1670.000000,2274931.802321,10431943.628179,12,6500.500000,6509.898071,1.000000,1,-9.398071
MW-2,2035.000000,2274931.802321,10431943.628179,12,6499.500000,6510.044941,1.000000,1,-10.544941
MW-2,2401.000000,2274931.802321,10431943.628179,12,6497.500000,6509.946624,1.000000,1,-12.446624
MW-2,2764.000000,2274931.802321,10431943.628179,12,6500.500000,6509.676147,1.000000,1,-9.176147
MW-2,3133.000000,2274931.802321,10431943.628179,12,6501.500000,6509.381124,1.000000,1,-7.881124
MW-2,3470.000000,2274931.802321,10431943.628179,12,6501.500000,6510.277460,1.000000,1,-8.777460
MW-2,3774.000000,2274931.802321,10431943.628179,12,6514.500000,6512.022163,1.000000,1,2.477837
MW-2,4139.000000,2274931.802321,10431943.628179,12,6515.120000,6513.463704,1.000000,1,1.656296
MW-2,4505.000000,2274931.802321,10431943.628179,12,6515.780000,6513.718971,1.000000,1,2.061029
MW-2,4870.000000,2274931.802321,10431943.628179,12,6515.170000,6514.576941,1.000000,1,0.593059
MW-2,5235.000000,2274931.802321,10431943.628179,12,6514.930000,6515.801130,1.000000,1,-0.871130
MW-2,5600.000000,2274931.802321,10431943.628179,12,6521.190000,6517.652995,1.000000,1,3.537005
MW-2,5966.000000,2274931.802321,10431943.628179,12,6516.590000,6519.306317,1.000000,1,-2.716317
MW-2,6363.000000,2274931.802321,10431943.628179,12,6515.750000,6519.563051,1.000000,1,-3.813051
MW-3,550.000000,2275975.448794,10431989.681913,12,6594.000000,6577.219720,1.000000,1,16.780280
MW-3,921.000000,2275975.448794,10431989.681913,12,6592.000000,6577.219238,1.000000,1,14.780762
MW-3,1286.000000,2275975.448794,10431989.681913,12,6597.000000,6577.219238,1.000000,1,19.780762
MW-3,1670.000000,2275975.448794,10431989.681913,12,6599.000000,6577.219238,1.000000,1,21.780762
MW-3,2035.000000,2275975.448794,10431989.681913,12,6597.000000,6577.219238,1.000000,1,19.780762
MW-3,2401.000000,2275975.448794,10431989.681913,12,6598.000000,6576.837456,1.000000,1,21.162544
MW-3,2764.000000,2275975.448794,10431989.681913,12,6598.000000,6576.518480,1.000000,1,21.481520
MW-3,3133.000000,2275975.448794,10431989.681913,12,6594.000000,6576.492493,1.000000,1,17.507507
MW-3,3287.000000,2275975.448794,10431989.681913,12,6598.000000,6576.494141,1.000000,1,21.505859
MW-3,3652.000000,2275975.448794,10431989.681913,12,6597.000000,6578.808105,1.000000,1,18.191895
MW-4,550.000000,2277596.902846,10431375.977384,12,6474.000000,6554.448135,1.000000,1,-80.448135
MW-4,921.000000,2277596.902846,10431375.977384,12,6477.000000,6554.476968,1.000000,1,-77.476968
MW-4,1286.000000,2277596.902846,10431375.977384,12,6477.000000,6554.529110,1.000000,1,-77.529110
MW-4,1649.000000,2277596.902846,10431375.977384,12,6479.000000,6554.547393,1.000000,1,-75.547393
MW-4,2036.000000,2277596.902846,10431375.977384,12,6479.000000,6554.548340,1.000000,1,-75.548340
MW-4,2396.000000,2277596.902846,10431375.977384,12,6479.000000,6554.025364,1.000000,1,-75.025364
MW-4,2739.000000,2277596.902846,10431375.977384,12,6487.000000,6553.503662,1.000000,1,-66.503662
MW-4,3133.000000,2277596.902846,10431375.977384,12,6489.000000,6553.396347,1.000000,1,-64.396347
MW-4,3470.000000,2277596.902846,10431375.977384,12,6484.000000,6554.582819,1.000000,1,-70.582819
MW-4,3774.000000,2277596.902846,10431375.977384,12,6486.000000,6555.965573,1.000000,1,-69.965573
MW-4,4150.000000,2277596.902846,10431375.977384,12,6488.460000,6555.701679,1.000000,1,-67.241679
MW-4,4516.000000,2277596.902846,10431375.977384,12,6488.400000,6554.643149,1.000000,1,-66.243149
MW-4,4881.000000,2277596.902846,10431375.977384,12,6487.970000,6554.955664,1.000000,1,-66.985664
MW-4,5296.000000,2277596.902846,10431375.977384,12,6487.500000,6555.394810,1.000000,1,-67.894810
MW-4,5661.000000,2277596.902846,10431375.977384,12,6487.260000,6556.044922,1.000000,1,-68.784922
MW-4,5966.000000,2277596.902846,10431375.977384,12,6487.050000,6555.856544,1.000000,1,-68.806544
MW-4,6362.000000,2277596.902846,10431375.977384,12,6486.850000,6554.555113,1.000000,1,-67.705113
MW-4,6703.000000,2277596.902846,10431375.977384,12,6487.100000,6554.068623,1.000000,1,-66.968623
MW-4,7130.000000,2277596.902846,10431375.977384,12,6486.370000,6553.449236,1.000000,1,-67.079236
MW-4,7462.000000,2277596.902846,10431375.977384,12,6486.030000,6554.312204,1.000000,1,-68.282204
MW-4,7861.000000,2277596.902846,10431375.977384,12,6485.480000,6555.145366,1.000000,1,-69.665366
MW-4,8231.000000,2277596.902846,10431375.977384,12,6485.550000,6554.333019,1.000000,1,-68.783019
MW-4,8517.000000,2277596.902846,10431375.977384,12,6485.630000,6553.876605,1.000000,1,-68.246605
MW-4,8954.000000,2277596.902846,10431375.977384,12,6485.490000,6553.388906,1.000000,1,-67.898906
MW-4,9343.000000,2277596.902846,10431375.977384,12,6485.420000,6553.249522,1.000000,1,-67.829522
MW-4,9654.000000,2277596.902846,10431375.977384,12,6484.350000,6553.145663,1.000000,1,-68.795663
MW-4,10022.000000,2277596.902846,10431375.977384,12,6485.670000,6553.009782,1.000000,1,-67.339782
MW-4,10392.000000,2277596.902846,10431375.977384,12,6485.550000,6552.878512,1.000000,1,-67.328512
MW-4,10731.000000,2277596.902846,10431375.977384,12,6485.590000,6552.804158,1.000000,1,-67.214158
MW-4,11159.000000,2277596.902846,10431375.977384,12,6485.550000,6552.768113,1.000000,1,-67.218113
MW-4,11494.000000,2277596.902846,10431375.977384,12,6485.570000,6552.768627,1.000000,1,-67.198627
MW-4,11621.000000,2277596.902846,10431375.977384,12,6485.520000,6552.776251,1.000000,1,-67.256251
MW-6,11492.000000,2273862.756365,10432354.292871,12,6419.680000,6484.213045,1.000000,1,-64.533045
MW-6A,3774.000000,2273989.961200,10432455.777398,12,6512.800000,6509.231295,1.000000,1,3.568705
MW-6A,4200.000000,2273989.961200,10432455.777398,12,6514.050000,6510.872803,1.000000,1,3.177197
MW-6A,4413.000000,2273989.961200,10432455.777398,12,6514.920000,6511.137240,1.000000,1,3.782760
MW-6A,5669.000000,2273989.961200,10432455.777398,12,6514.550000,6515.388488,1.000000,1,-0.838488
MW-6A,5966.000000,2273989.961200,10432455.777398,12,6516.530000,6516.641659,1.000000,1,-0.111659
MW-6A,6363.000000,2273989.961200,10432455.777398,12,6514.770000,6517.049233,1.000000,1,-2.279233
MW-6A,6706.000000,2273989.961200,10432455.777398,12,6502.530000,6514.326509,1.000000,1,-11.796509
MW-6A,7134.000000,2273989.961200,10432455.777398,12,6493.570000,6507.830550,1.000000,1,-14.260550
MW-6A,7462.000000,2273989.961200,10432455.777398,12,6496.660000,6508.273883,1.000000,1,-11.613883
MW-6A,7684.000000,2273989.961200,10432455.777398,12,6498.280000,6510.667181,1.000000,1,-12.387181
MW-7,3835.000000,2275017.722686,10435219.279180,12,6564.900000,6573.815827,1.000000,1,-8.915827
MW-7,4139.000000,2275017.722686,10435219.279180,12,6567.610000,6574.440267,1.000000,1,-6.830267
MW-7,4475.000000,2275017.722686,10435219.279180,12,6567.850000,6574.271836,1.000000,1,-6.421836
MW-7,4870.000000,2275017.722686,10435219.279180,12,6567.200000,6574.026196,1.000000,1,-6.826196
MW-7,5235.000000,2275017.722686,10435219.279180,12,6567.530000,6573.977911,1.000000,1,-6.447911
MW-7,5600.000000,2275017.722686,10435219.279180,12,6567.550000,6574.372559,1.000000,1,-6.822559
MW-7,5966.000000,2275017.722686,10435219.279180,12,6551.660000,6574.718861,1.000000,1,-23.058861
MW-7,6366.000000,2275017.722686,10435219.279180,12,6569.700000,6574.198955,1.000000,1,-4.498955
